TE	B22	COR	FIN	GIM	JUT	KIE	LUN	MUN	R177	R375	REF	SLO	TEN	TOM	Length	Family
TE_00001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	238.0	Tc3
TE_00002	1	1	1	1	1	1	1	1	1	0	1	1	1	1	79.3076923076923	UnknownFamily
TE_00003	1	1	1	1	1	1	1	1	1	1	1	1	0	1	64.0	TART-A
TE_00004	1	0	1	1	1	1	1	1	1	1	0	0	0	1	231.1	GATE
TE_00005	1	0	0	1	1	1	0	1	1	0	1	0	1	1	85.66666666666667	G5A
TE_00006	1	0	1	1	1	1	1	1	1	1	1	1	1	1	124.92307692307692	INE-1
TE_00007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1219.0	roo
TE_00008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6040.0	roo
TE_00009	1	1	1	1	0	1	0	0	0	1	1	0	1	1	53.0	Dbuz-Kepler
TE_00010	1	1	0	1	1	1	1	1	1	1	1	1	1	1	68.92307692307692	Max-element
TE_00011	1	0	0	0	0	0	0	0	0	1	0	0	0	0	34.0	TAHRE
TE_00012	1	1	0	0	1	0	0	0	0	1	1	1	0	1	64.0	TAHRE
TE_00013	1	1	0	1	1	1	0	1	0	0	0	1	0	1	48.0	1360
TE_00014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	39.0	mdg1
TE_00015	1	0	0	0	0	0	0	1	0	0	0	0	0	0	109.5	HeT-A
TE_00016	1	1	1	0	1	1	1	1	1	1	1	1	0	1	25.0	Dmer-R1A3
TE_00017	1	0	1	0	0	1	1	0	0	0	0	0	0	0	63.0	Stalker2
TE_00018	1	1	1	0	1	0	0	1	0	1	0	1	1	1	62.44444444444444	roo
TE_00019	1	0	0	0	0	0	0	1	1	0	1	0	0	1	88.6	gypsy10
TE_00020	1	1	1	0	1	0	0	1	1	1	1	1	1	1	121.0909090909091	F-element
TE_00021	1	1	1	0	1	1	1	1	1	1	1	1	1	1	4663.307692307692	UnknownFamily
TE_00022	1	0	1	1	0	0	1	0	0	0	1	1	1	0	62.714285714285715	Ivk
TE_00023	1	1	1	1	1	1	1	1	1	0	1	1	1	0	343.0	aurora
TE_00024	1	1	1	1	1	1	1	1	1	0	1	1	1	0	798.75	UnknownFamily
