TE	B22	COR	FIN	GIM	JUT	KIE	LUN	MUN	R177	R375	REF	SLO	TEN	TOM
TE_00001	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00002	1	1	1	1	1	1	1	1	1	0	1	1	1	1
TE_00003	1	1	1	1	1	1	1	1	1	1	1	1	0	1
TE_00004	1	0	1	1	1	1	1	1	1	1	0	0	0	1
TE_00005	1	0	0	1	1	1	0	1	1	0	1	0	1	1
TE_00006	1	0	1	1	1	1	1	1	1	1	1	1	1	1
TE_00007	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00008	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00009	1	1	1	1	0	1	0	0	0	1	1	0	1	1
TE_00010	1	1	0	1	1	1	1	1	1	1	1	1	1	1
TE_00011	1	0	0	0	0	0	0	0	0	1	0	0	0	0
TE_00012	1	1	0	0	1	0	0	0	0	1	1	1	0	1
TE_00013	1	1	0	1	1	1	0	1	0	0	0	1	0	1
TE_00014	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00015	1	0	0	0	0	0	0	1	0	0	0	0	0	0
TE_00016	1	1	1	0	1	1	1	1	1	1	1	1	0	1
TE_00017	1	0	1	0	0	1	1	0	0	0	0	0	0	0
TE_00018	1	1	1	0	1	0	0	1	0	1	0	1	1	1
TE_00019	1	0	0	0	0	0	0	1	1	0	1	0	0	1
TE_00020	1	1	1	0	1	0	0	1	1	1	1	1	1	1
TE_00021	1	1	1	0	1	1	1	1	1	1	1	1	1	1
TE_00022	1	0	1	1	0	0	1	0	0	0	1	1	1	0
TE_00023	1	1	1	1	1	1	1	1	1	0	1	1	1	0
TE_00024	1	1	1	1	1	1	1	1	1	0	1	1	1	0
TE_00025	1	0	0	1	1	0	0	1	1	0	1	1	0	0
TE_00026	1	0	0	1	1	0	0	1	1	0	1	1	0	0
TE_00027	1	0	0	0	0	0	0	1	0	0	0	0	0	1
TE_00028	1	0	0	0	0	0	0	1	0	0	0	1	0	1
TE_00029	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00030	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00031	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00032	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00033	1	0	1	1	0	1	0	0	1	0	0	0	1	0
TE_00034	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00035	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00036	1	1	0	0	1	1	0	1	0	1	1	1	1	1
TE_00037	1	1	0	1	0	0	0	1	0	1	0	1	0	0
TE_00038	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00039	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00040	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00041	1	0	0	0	0	0	0	1	0	1	0	0	0	0
TE_00042	1	0	0	0	0	0	0	1	0	0	0	0	0	0
TE_00043	1	0	0	0	0	0	0	1	0	0	0	0	0	0
TE_00044	1	1	0	1	1	0	1	1	1	1	0	0	0	0
